window_index,start_sec,end_sec,top1_label,top1_prob,playing_guitar_prob,playing_guitar_rank,is_playing
0,0.0,2.67,shaving head,0.2276,0.0006,,False
1,2.0,4.67,lunge,0.2653,0.0007,,False
2,4.0,6.67,stretching arm,0.3667,0.0015,,False
3,6.0,8.67,stretching arm,0.8373,0.0004,,False
4,8.0,10.67,stretching arm,0.1548,0.0029,,False
5,10.0,12.67,dunking basketball,0.1958,0.0015,,False
6,12.0,14.67,stretching arm,0.1124,0.0013,,False
7,14.0,16.67,stretching arm,0.0971,0.0014,,False
8,16.0,18.67,stretching arm,0.1179,0.0017,,False
9,18.0,20.67,stretching arm,0.1068,0.0015,,False
10,20.0,22.67,washing dishes,0.0603,0.0023,,False
11,22.0,24.67,playing guitar,0.3249,0.3249,1,False
12,24.0,26.67,playing guitar,0.5375,0.5375,1,True
13,26.0,28.67,playing guitar,0.4385,0.4385,1,False
14,28.0,30.67,playing guitar,0.5101,0.5101,1,True
15,30.0,32.67,playing guitar,0.4285,0.4285,1,False
16,32.0,34.67,playing guitar,0.38,0.38,1,False
17,34.0,36.67,playing guitar,0.3891,0.3891,1,False
18,36.0,38.67,playing guitar,0.4206,0.4206,1,False
19,38.0,40.67,playing guitar,0.4462,0.4462,1,False
20,40.0,42.67,playing guitar,0.4733,0.4733,1,False
21,42.0,44.67,playing guitar,0.461,0.461,1,False
22,44.0,46.67,playing guitar,0.4346,0.4346,1,False
23,46.0,48.67,playing guitar,0.5495,0.5495,1,True
24,48.0,50.67,playing guitar,0.4742,0.4742,1,False
25,50.0,52.67,playing guitar,0.4845,0.4845,1,False
26,52.0,54.67,playing guitar,0.4639,0.4639,1,False
27,54.0,56.67,playing guitar,0.551,0.551,1,True
28,56.0,58.67,playing guitar,0.5978,0.5978,1,True
29,58.0,60.67,playing guitar,0.3506,0.3506,1,False
30,60.0,62.67,playing guitar,0.4951,0.4951,1,False
31,62.0,64.67,playing guitar,0.4797,0.4797,1,False
32,64.0,66.67,playing guitar,0.3057,0.3057,1,False
33,66.0,68.67,playing guitar,0.3508,0.3508,1,False
34,68.0,70.67,playing guitar,0.3501,0.3501,1,False
35,70.0,72.67,playing guitar,0.3041,0.3041,1,False
36,72.0,74.67,playing guitar,0.316,0.316,1,False
37,74.0,76.67,playing guitar,0.2608,0.2608,1,False
38,76.0,78.67,playing guitar,0.3872,0.3872,1,False
39,78.0,80.67,playing guitar,0.4015,0.4015,1,False
40,80.0,82.67,playing guitar,0.3331,0.3331,1,False
41,82.0,84.67,playing guitar,0.4524,0.4524,1,False
42,84.0,86.67,playing guitar,0.5156,0.5156,1,True
43,86.0,88.67,playing guitar,0.4281,0.4281,1,False
44,88.0,90.67,playing guitar,0.4208,0.4208,1,False
45,90.0,92.67,playing guitar,0.4874,0.4874,1,False
46,92.0,94.67,playing guitar,0.7307,0.7307,1,True
47,94.0,96.67,moving furniture,0.2487,0.0034,,False
48,96.0,98.67,shaving head,0.2244,0.001,,False
49,98.0,100.67,dying hair,0.2071,0.001,,False
50,100.0,102.67,tapping guitar,0.1599,0.1212,2,False
51,102.0,104.67,playing guitar,0.3223,0.3223,1,False
52,104.0,106.67,playing guitar,0.3277,0.3277,1,False
53,106.0,108.67,playing guitar,0.4679,0.4679,1,False
54,108.0,110.67,playing guitar,0.3969,0.3969,1,False
55,110.0,112.67,playing guitar,0.4588,0.4588,1,False
56,112.0,114.67,playing guitar,0.3941,0.3941,1,False
57,114.0,116.67,playing guitar,0.6243,0.6243,1,True
58,116.0,118.67,playing guitar,0.4827,0.4827,1,False
59,118.0,120.67,playing guitar,0.4766,0.4766,1,False
60,120.0,122.67,playing guitar,0.64,0.64,1,True
61,122.0,124.67,playing guitar,0.4794,0.4794,1,False
62,124.0,126.67,playing guitar,0.4283,0.4283,1,False
63,126.0,128.67,playing guitar,0.4108,0.4108,1,False
64,128.0,130.67,playing guitar,0.465,0.465,1,False
65,130.0,132.67,playing guitar,0.4917,0.4917,1,False
66,132.0,134.67,playing guitar,0.6483,0.6483,1,True
67,134.0,136.67,playing guitar,0.5192,0.5192,1,True
68,136.0,138.67,playing guitar,0.4065,0.4065,1,False
69,138.0,140.67,playing guitar,0.3635,0.3635,1,False
70,140.0,142.67,playing guitar,0.4363,0.4363,1,False
71,142.0,144.67,playing guitar,0.4632,0.4632,1,False
72,144.0,146.67,playing guitar,0.5247,0.5247,1,True
73,146.0,148.67,playing guitar,0.3521,0.3521,1,False
74,148.0,150.67,dunking basketball,0.06,0.0128,,False
75,150.0,152.67,moving furniture,0.2421,0.0013,,False
76,152.0,154.67,stretching arm,0.2018,0.0012,,False
77,154.0,156.67,stretching arm,0.219,0.0011,,False
78,156.0,158.67,dunking basketball,0.165,0.0008,,False
79,158.0,160.67,juggling balls,0.2509,0.0016,,False
80,160.0,162.67,juggling balls,0.3911,0.0022,,False
81,162.0,164.67,juggling balls,0.4654,0.001,,False
82,164.0,166.67,contact juggling,0.2654,0.0007,,False
83,166.0,168.67,carrying baby,0.0972,0.0015,,False
84,168.0,170.67,washing dishes,0.0837,0.0016,,False
85,170.0,172.67,carrying baby,0.2754,0.001,,False
86,172.0,174.67,juggling balls,0.404,0.0044,,False
87,174.0,176.67,juggling balls,0.1279,0.0044,,False
